Gene_Symbol,Uniprot_ID,Polar,Neutral,Hydrophobicity,0-2.78,2.95-4.0,4.03-8.08,4.9-6.2,8.0-9.2,10.4-13.0,0-1.08,0.128-0.186,0.219-0.409,Positive,Neutral,Negative,Buried,Exposed,Intermediate,Helix,Strand,Coil,(-0.20~0.16),(-0.3~ -0.52),(-0.98~ -2.46),High (5-21%),Medium (1.12-3.64%),Low (0-0.83%),High (1.21-2.02),Medium (0.63-1.12),Low (0.14-0.29),High (4-30%) ,Medium (1-3%) ,Low (0-1%) ,High (25-100%) ,Medium (5-18%) ,Low (0-4%) ,High (0.25-11) ,Medium (-0.25 – 0.17) ,Low (-0.3 - -0.8) ,High (1.18-2.07) ,Medium (0.84-1.16) ,Low (0.41-0.8) ,High (0.95-1.8) ,Medium (0.5-0.95) ,Low (0-0.5) ,High (?2.25) ,Medium (1.6-2.3) ,Low (?1.5) ,High  (?1.4) ,Medium (0.79-1.21) ,Low (?0.76) ,High (477-1197) ,Medium (95-423) ,Low (<95) ,Low (75-105),Medium (115-155),High (165-204),(-4.2 - -3.3),(-3.07 – 2.26),(-1.78 - -1.05),>1,1,0,>1,1,0,High (9-65 g/100g) ,Medium (1.14-7.44 g/100g) ,Low (0.048-0.82,Very flexible,Moderately flexible,Less flexible,Target
FAM175A,Q6UWZ7,28.75,38.75,32.5,41.25,40,18.75,37.5,32.5,30,38.75,42.5,18.75,3.75,80,16.25,43.75,28.75,27.5,35,32.5,32.5,31.25,31.25,37.5,25,63.75,11.25,25,62.5,12.5,13.75,38.75,47.5,26.25,26.25,47.5,30,47.5,22.5,41.25,35,23.75,27.5,53.75,18.75,28.75,53.75,17.5,43.75,51.25,5,45,42.5,12.5,12.5,58.75,28.75,32.5,32.5,35,23.75,63.75,12.5,13.75,46.25,40,16.25,60,23.75,22.5,40,37.5,1
ABCB1,P08183,33.75,30,36.25,32.5,31.25,36.25,38.75,26.25,35,30,33.75,36.25,16.25,72.5,11.25,43.75,33.75,22.5,46.25,25,28.75,31.25,27.5,41.25,20,66.25,13.75,35,56.25,8.75,23.75,23.75,52.5,21.25,26.25,52.5,35,35,30,38.75,32.5,28.75,40,43.75,16.25,30,47.5,22.5,42.5,47.5,10,43.75,38.75,17.5,27.5,51.25,21.25,42.5,30,27.5,30,61.25,8.75,12.5,47.5,40,20,50,30,17.5,45,37.5,1
TNFRSF10A,O00220,17.5,68.75,13.75,66.25,13.75,20,13.75,66.25,20,51.25,28.75,20,12.5,85,2.5,48.75,17.5,33.75,46.25,12.5,41.25,53.75,17.5,28.75,46.25,40,13.75,55,45,0,17.5,17.5,65,18.75,16.25,65,20,70,10,31.25,60,8.75,33.75,58.75,7.5,32.5,62.5,5,45,37.5,17.5,47.5,46.25,6.25,17.5,53.75,28.75,43.75,46.25,10,27.5,65,7.5,5,50,45,7.5,40,52.5,16.25,22.5,61.25,1
CDKN1B,P46527,46.25,30,23.75,32.5,36.25,31.25,25,23.75,51.25,23.75,45,31.25,15,65,20,28.75,46.25,25,53.75,16.25,30,40,31.25,28.75,16.25,67.5,16.25,27.5,65,7.5,31.25,32.5,36.25,45,18.75,36.25,51.25,32.5,16.25,42.5,37.5,20,42.5,43.75,13.75,40,40,20,40,47.5,12.5,45,42.5,12.5,25,46.25,28.75,38.75,27.5,33.75,36.25,57.5,6.25,15,37.5,47.5,18.75,36.25,45,35,38.75,26.25,1
TAPBP,O15533,21.25,47.5,31.25,51.25,32.5,16.25,32.5,45,22.5,38.75,45,16.25,8.75,81.25,10,56.25,21.25,22.5,52.5,15,32.5,40,17.5,42.5,32.5,57.5,10,37.5,56.25,6.25,12.5,20,67.5,18.75,13.75,67.5,22.5,53.75,23.75,27.5,47.5,25,30,45,25,31.25,58.75,10,30,56.25,13.75,31.25,48.75,20,12.5,58.75,28.75,30,35,35,20,75,5,7.5,42.5,50,8.75,47.5,43.75,17.5,20,62.5,1
MYH13,Q9UKX3,43.75,26.25,30,33.75,35,31.25,32.5,23.75,43.75,27.5,41.25,31.25,16.25,66.25,17.5,33.75,43.75,22.5,50,23.75,26.25,36.25,27.5,36.25,15,71.25,13.75,32.5,56.25,11.25,26.25,27.5,46.25,33.75,20,46.25,43.75,33.75,22.5,35,43.75,21.25,43.75,43.75,12.5,40,36.25,23.75,38.75,47.5,13.75,38.75,47.5,13.75,26.25,42.5,31.25,32.5,37.5,30,31.25,58.75,10,8.75,40,51.25,16.25,41.25,42.5,26.25,41.25,32.5,1
AKAP10,O43572,31.25,48.75,20,47.5,25,27.5,20,45,35,37.5,35,27.5,17.5,76.25,6.25,33.75,31.25,35,47.5,16.25,36.25,38.75,31.25,30,31.25,58.75,10,38.75,58.75,2.5,28.75,23.75,47.5,25,27.5,47.5,35,50,15,41.25,48.75,10,42.5,48.75,8.75,30,51.25,18.75,48.75,37.5,13.75,52.5,40,7.5,25,53.75,21.25,45,40,15,42.5,48.75,8.75,6.25,47.5,46.25,10,43.75,46.25,17.5,41.25,41.25,1
TGM3,Q08188,30,38.75,31.25,36.25,38.75,25,32.5,35,32.5,32.5,42.5,25,8.75,85,6.25,41.25,30,28.75,45,23.75,31.25,38.75,25,36.25,26.25,60,13.75,28.75,68.75,2.5,26.25,25,48.75,28.75,22.5,48.75,32.5,41.25,26.25,42.5,35,22.5,31.25,55,13.75,31.25,55,13.75,48.75,42.5,8.75,51.25,35,13.75,17.5,63.75,18.75,37.5,42.5,20,35,53.75,11.25,11.25,55,33.75,16.25,51.25,32.5,15,47.5,37.5,1
CPA4,Q9UI42,31.25,26.25,42.5,31.25,45,23.75,42.5,26.25,31.25,26.25,50,23.75,11.25,82.5,6.25,50,31.25,18.75,35,28.75,36.25,31.25,23.75,45,22.5,61.25,16.25,21.25,75,3.75,25,22.5,52.5,25,22.5,52.5,31.25,36.25,32.5,42.5,31.25,26.25,37.5,40,22.5,31.25,52.5,16.25,45,48.75,6.25,45,40,15,12.5,77.5,10,35,36.25,28.75,31.25,57.5,11.25,12.5,55,32.5,13.75,61.25,25,11.25,47.5,41.25,1
PLAU,P00749,30,35,35,40,33.75,26.25,38.75,26.25,35,27.5,46.25,26.25,11.25,81.25,7.5,46.25,30,23.75,36.25,30,33.75,36.25,32.5,31.25,21.25,66.25,12.5,36.25,56.25,7.5,27.5,23.75,48.75,27.5,23.75,48.75,35,46.25,18.75,41.25,28.75,30,38.75,35,26.25,32.5,53.75,13.75,47.5,38.75,13.75,52.5,26.25,21.25,21.25,56.25,22.5,41.25,25,33.75,28.75,55,16.25,23.75,47.5,28.75,25,52.5,22.5,20,46.25,33.75,1
XPC,Q01831,47.5,40,12.5,43.75,22.5,33.75,12.5,38.75,48.75,36.25,30,33.75,30,55,15,32.5,47.5,20,61.25,8.75,30,40,42.5,17.5,31.25,56.25,12.5,53.75,42.5,3.75,33.75,26.25,40,30,30,40,48.75,45,6.25,52.5,40,7.5,41.25,48.75,10,27.5,42.5,30,53.75,37.5,8.75,55,38.75,6.25,32.5,38.75,28.75,52.5,22.5,25,45,52.5,2.5,3.75,37.5,58.75,5,33.75,61.25,27.5,36.25,36.25,1
TEP1,Q99973,28.75,38.75,32.5,36.25,41.25,22.5,33.75,27.5,38.75,26.25,51.25,22.5,7.5,80,12.5,36.25,28.75,35,56.25,15,28.75,33.75,27.5,38.75,16.25,81.25,2.5,21.25,71.25,7.5,26.25,26.25,47.5,32.5,20,47.5,38.75,35,26.25,32.5,41.25,26.25,40,35,25,27.5,56.25,16.25,32.5,53.75,13.75,42.5,32.5,25,22.5,53.75,23.75,33.75,28.75,37.5,35,55,10,13.75,46.25,40,17.5,51.25,31.25,25,33.75,41.25,1
FASN,P49327,36.25,32.5,31.25,38.75,31.25,30,32.5,28.75,38.75,33.75,36.25,30,13.75,70,16.25,41.25,36.25,22.5,46.25,20,33.75,41.25,21.25,37.5,21.25,62.5,16.25,31.25,57.5,11.25,22.5,28.75,48.75,32.5,18.75,48.75,38.75,36.25,25,35,41.25,23.75,40,43.75,16.25,40,45,15,40,50,10,42.5,42.5,15,22.5,53.75,23.75,41.25,26.25,32.5,31.25,61.25,7.5,11.25,46.25,42.5,16.25,50,33.75,27.5,33.75,38.75,1
TAP2,Q03519,13.75,36.25,50,40,45,15,50,36.25,13.75,30,55,15,7.5,88.75,3.75,66.25,13.75,20,53.75,18.75,27.5,28.75,13.75,57.5,20,67.5,12.5,33.75,63.75,2.5,10,18.75,71.25,12.5,16.25,71.25,13.75,41.25,45,21.25,32.5,46.25,23.75,33.75,42.5,28.75,68.75,2.5,33.75,55,11.25,33.75,26.25,40,8.75,75,16.25,30,23.75,46.25,13.75,72.5,13.75,7.5,68.75,23.75,8.75,67.5,23.75,10,22.5,67.5,1
ERCC6,Q03468,33.75,43.75,22.5,46.25,38.75,15,23.75,38.75,37.5,37.5,47.5,15,6.25,78.75,15,37.5,33.75,28.75,45,17.5,37.5,43.75,28.75,27.5,30,62.5,7.5,28.75,65,6.25,22.5,31.25,46.25,36.25,17.5,46.25,37.5,47.5,15,46.25,40,13.75,31.25,55,13.75,32.5,51.25,16.25,45,43.75,11.25,48.75,40,11.25,13.75,58.75,27.5,36.25,35,28.75,33.75,56.25,10,8.75,47.5,43.75,11.25,50,38.75,25,35,40,1
DCC,P43146,25,35,40,40,33.75,26.25,40,32.5,27.5,33.75,40,26.25,11.25,80,8.75,53.75,25,21.25,42.5,30,27.5,33.75,25,41.25,25,60,15,33.75,61.25,5,18.75,23.75,57.5,21.25,21.25,57.5,27.5,45,27.5,31.25,42.5,26.25,31.25,45,23.75,31.25,55,13.75,36.25,55,8.75,38.75,45,16.25,16.25,60,23.75,35,32.5,32.5,27.5,60,12.5,15,45,40,17.5,52.5,30,16.25,38.75,45,1
NFATC4,Q14934,25,53.75,21.25,58.75,26.25,15,22.5,51.25,26.25,31.25,53.75,15,7.5,75,17.5,42.5,25,32.5,45,11.25,43.75,33.75,23.75,42.5,27.5,63.75,8.75,35,60,5,8.75,22.5,68.75,23.75,7.5,68.75,26.25,57.5,16.25,32.5,48.75,18.75,40,46.25,13.75,42.5,38.75,18.75,25,45,30,26.25,58.75,15,12.5,55,32.5,28.75,40,31.25,15,78.75,6.25,8.75,35,56.25,11.25,32.5,56.25,25,15,60,1
NRIP1,P48552,26.25,50,23.75,46.25,35,18.75,26.25,40,33.75,42.5,38.75,18.75,2.5,86.25,11.25,40,26.25,33.75,41.25,21.25,37.5,45,27.5,27.5,30,65,5,31.25,61.25,7.5,22.5,31.25,46.25,31.25,22.5,46.25,33.75,48.75,17.5,45,36.25,18.75,28.75,56.25,15,23.75,65,11.25,48.75,43.75,7.5,56.25,30,13.75,16.25,57.5,26.25,40,33.75,26.25,30,58.75,11.25,13.75,52.5,33.75,17.5,58.75,23.75,21.25,40,38.75,1
WRN,Q14191,37.5,30,32.5,41.25,33.75,25,35,27.5,37.5,33.75,41.25,25,12.5,68.75,18.75,37.5,37.5,25,41.25,28.75,30,28.75,38.75,32.5,21.25,65,13.75,30,58.75,11.25,18.75,38.75,42.5,30,27.5,42.5,37.5,43.75,18.75,40,36.25,23.75,32.5,47.5,20,37.5,42.5,20,41.25,47.5,11.25,41.25,43.75,15,18.75,48.75,32.5,36.25,25,38.75,32.5,55,12.5,13.75,40,46.25,17.5,48.75,33.75,26.25,45,28.75,1
GPR68,Q15743,17.5,38.75,43.75,37.5,42.5,20,51.25,28.75,20,28.75,51.25,20,1.25,93.75,5,52.5,17.5,30,32.5,42.5,25,28.75,21.25,50,17.5,68.75,13.75,25,63.75,11.25,15,27.5,57.5,18.75,23.75,57.5,20,51.25,28.75,25,40,35,32.5,38.75,28.75,33.75,57.5,8.75,38.75,50,11.25,41.25,37.5,21.25,13.75,62.5,23.75,26.25,40,33.75,17.5,62.5,20,21.25,47.5,31.25,23.75,58.75,17.5,15,40,45,1
PRKCH,P24723,32.5,40,27.5,38.75,33.75,27.5,31.25,33.75,35,33.75,38.75,27.5,13.75,78.75,7.5,37.5,32.5,30,40,30,30,36.25,30,33.75,20,65,15,37.5,55,7.5,27.5,30,42.5,27.5,30,42.5,35,47.5,17.5,40,38.75,21.25,35,46.25,18.75,32.5,55,12.5,56.25,36.25,7.5,58.75,28.75,12.5,22.5,56.25,21.25,41.25,32.5,26.25,32.5,53.75,13.75,12.5,51.25,36.25,15,55,30,20,45,35,1
ATF1,P18846,33.75,51.25,15,51.25,28.75,20,16.25,45,38.75,47.5,32.5,20,12.5,73.75,13.75,27.5,33.75,38.75,46.25,15,38.75,38.75,41.25,20,36.25,56.25,7.5,31.25,61.25,7.5,25,42.5,32.5,32.5,35,32.5,38.75,48.75,12.5,50,42.5,7.5,35,57.5,7.5,26.25,53.75,20,55,40,5,60,33.75,6.25,20,53.75,26.25,48.75,30,21.25,48.75,40,11.25,6.25,52.5,41.25,7.5,53.75,38.75,26.25,42.5,31.25,1
NCOA3,Q9Y6Q9,43.75,30,26.25,40,38.75,21.25,27.5,28.75,43.75,31.25,47.5,21.25,17.5,65,17.5,36.25,43.75,20,48.75,18.75,32.5,36.25,35,28.75,20,68.75,11.25,36.25,55,8.75,26.25,31.25,42.5,35,22.5,42.5,43.75,36.25,20,42.5,38.75,18.75,42.5,40,17.5,32.5,42.5,25,46.25,43.75,10,46.25,37.5,16.25,20,50,30,35,30,35,31.25,55,13.75,6.25,51.25,42.5,7.5,51.25,41.25,27.5,36.25,36.25,1
TNFAIP3,P21580,36.25,30,33.75,27.5,38.75,33.75,36.25,22.5,41.25,20,46.25,33.75,15,75,10,36.25,36.25,27.5,53.75,31.25,15,35,26.25,38.75,10,72.5,17.5,32.5,62.5,5,31.25,22.5,46.25,35,18.75,46.25,41.25,30,28.75,28.75,47.5,23.75,43.75,43.75,12.5,40,36.25,23.75,40,47.5,12.5,45,40,15,27.5,46.25,26.25,31.25,46.25,22.5,35,45,20,16.25,46.25,37.5,21.25,37.5,41.25,26.25,41.25,32.5,1
ABCG2,Q9UNQ0,27.5,37.5,35,38.75,40,21.25,36.25,35,28.75,30,48.75,21.25,10,83.75,6.25,47.5,27.5,25,35,28.75,36.25,31.25,28.75,40,25,65,10,31.25,66.25,2.5,22.5,21.25,56.25,21.25,22.5,56.25,28.75,46.25,25,42.5,36.25,21.25,37.5,43.75,18.75,23.75,56.25,20,45,43.75,11.25,46.25,40,13.75,15,66.25,18.75,33.75,41.25,25,25,61.25,13.75,11.25,53.75,35,13.75,57.5,28.75,11.25,43.75,45,1
NFKBIE,O00221,25,58.75,16.25,58.75,16.25,25,17.5,56.25,26.25,48.75,26.25,25,16.25,80,3.75,51.25,25,23.75,40,16.25,43.75,58.75,16.25,25,43.75,35,21.25,57.5,40,2.5,22.5,21.25,56.25,25,18.75,56.25,26.25,62.5,11.25,40,47.5,12.5,37.5,53.75,8.75,36.25,58.75,5,57.5,31.25,11.25,58.75,35,6.25,20,58.75,21.25,56.25,31.25,12.5,28.75,60,11.25,8.75,58.75,32.5,10,47.5,42.5,21.25,25,53.75,1
TNFRSF14,Q92956,21.25,48.75,30,57.5,23.75,18.75,35,43.75,21.25,28.75,52.5,18.75,8.75,78.75,12.5,42.5,21.25,36.25,32.5,31.25,36.25,21.25,35,43.75,18.75,68.75,12.5,38.75,52.5,8.75,8.75,31.25,60,16.25,23.75,60,21.25,65,13.75,27.5,43.75,28.75,38.75,36.25,25,46.25,40,13.75,33.75,36.25,30,33.75,46.25,20,15,51.25,33.75,31.25,31.25,37.5,15,66.25,18.75,18.75,33.75,47.5,20,38.75,41.25,21.25,31.25,47.5,1
BAG3,O95817,28.75,52.5,18.75,56.25,21.25,22.5,18.75,50,31.25,40,37.5,22.5,10,78.75,11.25,30,28.75,41.25,32.5,20,47.5,38.75,26.25,35,26.25,60,13.75,32.5,61.25,6.25,20,33.75,46.25,28.75,25,46.25,31.25,53.75,15,35,52.5,12.5,46.25,47.5,6.25,42.5,47.5,10,45,35,20,47.5,46.25,6.25,16.25,58.75,25,40,42.5,17.5,30,56.25,13.75,8.75,48.75,42.5,12.5,47.5,40,21.25,38.75,40,1
CYP19A1,P11511,13.75,45,41.25,38.75,37.5,23.75,47.5,36.25,16.25,27.5,48.75,23.75,3.75,92.5,3.75,50,13.75,36.25,35,32.5,32.5,28.75,17.5,53.75,22.5,63.75,13.75,27.5,66.25,6.25,12.5,22.5,65,16.25,18.75,65,16.25,51.25,32.5,27.5,40,32.5,37.5,41.25,21.25,32.5,55,12.5,38.75,42.5,18.75,41.25,36.25,22.5,20,63.75,16.25,38.75,36.25,25,20,62.5,17.5,15,61.25,23.75,22.5,56.25,21.25,16.25,31.25,52.5,1
STON2,Q8WXE9,30,51.25,18.75,50,33.75,16.25,18.75,42.5,38.75,43.75,40,16.25,1.25,78.75,20,27.5,30,42.5,38.75,16.25,45,36.25,38.75,25,31.25,65,3.75,17.5,75,7.5,18.75,46.25,35,37.5,27.5,35,38.75,47.5,13.75,51.25,37.5,11.25,30,60,10,26.25,57.5,16.25,43.75,47.5,8.75,52.5,40,7.5,12.5,60,27.5,42.5,27.5,30,38.75,52.5,8.75,12.5,46.25,41.25,15,56.25,28.75,28.75,41.25,30,1
ATG16L1,Q676U5,45,30,25,30,38.75,31.25,26.25,22.5,51.25,26.25,42.5,31.25,17.5,67.5,15,33.75,45,21.25,57.5,15,27.5,47.5,22.5,30,17.5,65,17.5,28.75,62.5,8.75,36.25,27.5,36.25,45,18.75,36.25,51.25,26.25,22.5,37.5,43.75,18.75,48.75,37.5,13.75,37.5,43.75,18.75,43.75,51.25,5,50,37.5,12.5,26.25,51.25,22.5,40,31.25,28.75,40,51.25,8.75,12.5,46.25,41.25,13.75,43.75,42.5,33.75,33.75,32.5,1
PYCRL,Q53H96,23.75,45,31.25,45,33.75,21.25,31.25,40,28.75,36.25,42.5,21.25,10,85,5,53.75,23.75,22.5,52.5,25,22.5,47.5,20,32.5,30,58.75,11.25,43.75,55,1.25,23.75,15,61.25,26.25,12.5,61.25,28.75,51.25,20,28.75,52.5,18.75,28.75,51.25,20,30,58.75,11.25,37.5,51.25,11.25,42.5,42.5,15,17.5,52.5,30,31.25,43.75,25,28.75,57.5,13.75,12.5,45,42.5,15,43.75,41.25,17.5,31.25,51.25,1
SFTPD,P35247,22.5,48.75,28.75,51.25,28.75,20,31.25,45,23.75,40,40,20,8.75,81.25,10,46.25,22.5,31.25,48.75,15,36.25,38.75,23.75,37.5,31.25,58.75,10,40,53.75,6.25,13.75,25,61.25,21.25,17.5,61.25,23.75,53.75,22.5,36.25,36.25,27.5,25,53.75,21.25,35,56.25,8.75,43.75,38.75,17.5,45,31.25,23.75,18.75,56.25,25,42.5,26.25,31.25,27.5,65,7.5,7.5,56.25,36.25,13.75,51.25,35,20,28.75,51.25,1
KLRK1,P26718,30,27.5,42.5,31.25,28.75,40,43.75,23.75,32.5,23.75,36.25,40,16.25,77.5,6.25,46.25,30,23.75,38.75,37.5,23.75,31.25,27.5,41.25,18.75,55,26.25,32.5,63.75,3.75,26.25,25,48.75,26.25,25,48.75,32.5,36.25,31.25,31.25,38.75,30,42.5,42.5,15,43.75,38.75,17.5,41.25,46.25,12.5,43.75,42.5,13.75,25,56.25,18.75,43.75,35,21.25,36.25,43.75,20,23.75,47.5,28.75,28.75,41.25,30,20,51.25,28.75,1
RNF43,Q68DV7,22.5,42.5,35,42.5,40,17.5,35,41.25,23.75,37.5,45,17.5,7.5,83.75,8.75,57.5,22.5,20,55,22.5,22.5,38.75,21.25,40,30,61.25,8.75,40,58.75,1.25,15,21.25,63.75,20,16.25,63.75,23.75,47.5,28.75,32.5,43.75,23.75,23.75,55,21.25,23.75,60,16.25,35,56.25,8.75,36.25,45,18.75,12.5,57.5,30,30,40,30,21.25,65,13.75,6.25,50,43.75,10,50,40,13.75,28.75,57.5,1
SLC18A1,P54219,20,37.5,42.5,36.25,41.25,22.5,43.75,32.5,23.75,30,47.5,22.5,7.5,85,7.5,51.25,20,28.75,47.5,27.5,25,30,20,50,21.25,66.25,12.5,25,70,5,16.25,22.5,61.25,21.25,17.5,61.25,23.75,46.25,30,23.75,47.5,28.75,27.5,42.5,30,28.75,62.5,8.75,31.25,58.75,10,35,43.75,21.25,16.25,62.5,21.25,28.75,33.75,37.5,26.25,66.25,7.5,11.25,48.75,40,15,56.25,28.75,17.5,31.25,51.25,1
CHL1,O00533,28.75,32.5,38.75,33.75,38.75,27.5,42.5,28.75,28.75,23.75,48.75,27.5,8.75,80,11.25,45,28.75,26.25,37.5,36.25,26.25,22.5,27.5,50,15,67.5,17.5,23.75,68.75,7.5,17.5,27.5,55,21.25,23.75,55,28.75,40,31.25,35,36.25,28.75,36.25,47.5,16.25,40,37.5,22.5,37.5,50,12.5,37.5,50,12.5,15,63.75,21.25,27.5,45,27.5,23.75,61.25,15,17.5,38.75,43.75,20,45,35,16.25,43.75,40,1
BMP2,P12643,22.5,42.5,35,45,35,20,36.25,41.25,22.5,33.75,46.25,20,11.25,81.25,7.5,51.25,22.5,26.25,53.75,16.25,30,35,20,45,28.75,57.5,13.75,35,61.25,3.75,15,20,65,20,15,65,22.5,51.25,26.25,28.75,42.5,28.75,25,47.5,27.5,35,57.5,7.5,36.25,48.75,15,36.25,40,23.75,16.25,61.25,22.5,33.75,31.25,35,27.5,68.75,3.75,6.25,51.25,42.5,10,48.75,41.25,17.5,26.25,56.25,1
PTPN21,Q16825,36.25,28.75,35,26.25,45,28.75,40,23.75,36.25,22.5,48.75,28.75,15,75,10,40,36.25,23.75,50,30,20,28.75,30,41.25,15,62.5,22.5,28.75,65,6.25,26.25,32.5,41.25,31.25,27.5,41.25,36.25,38.75,25,36.25,33.75,30,32.5,42.5,25,35,50,15,48.75,46.25,5,48.75,33.75,17.5,21.25,57.5,21.25,35,30,35,31.25,57.5,11.25,13.75,50,36.25,15,48.75,36.25,25,41.25,33.75,1
TNC,P24821,27.5,38.75,33.75,38.75,42.5,18.75,35,35,30,31.25,50,18.75,8.75,82.5,8.75,50,27.5,22.5,47.5,23.75,28.75,36.25,23.75,40,25,67.5,7.5,32.5,63.75,3.75,21.25,20,58.75,23.75,17.5,58.75,30,48.75,21.25,37.5,41.25,21.25,28.75,46.25,25,25,60,15,38.75,51.25,10,41.25,42.5,16.25,15,61.25,23.75,30,36.25,33.75,25,67.5,7.5,8.75,43.75,47.5,11.25,52.5,36.25,15,33.75,51.25,1
GPRC6A,Q5T6X5,18.75,37.5,43.75,41.25,40,18.75,43.75,33.75,22.5,31.25,50,18.75,3.75,87.5,8.75,52.5,18.75,28.75,38.75,37.5,23.75,28.75,25,46.25,21.25,68.75,10,26.25,70,3.75,13.75,23.75,62.5,21.25,16.25,62.5,22.5,42.5,35,26.25,50,23.75,32.5,50,17.5,33.75,45,21.25,30,56.25,13.75,33.75,50,16.25,11.25,62.5,26.25,25,48.75,26.25,26.25,48.75,25,15,50,35,18.75,52.5,28.75,15,37.5,47.5,1
FABP7,O15540,36.25,31.25,32.5,37.5,38.75,23.75,33.75,30,36.25,35,41.25,23.75,10,75,15,41.25,36.25,22.5,38.75,36.25,25,33.75,32.5,33.75,17.5,68.75,13.75,35,57.5,7.5,21.25,33.75,45,30,25,45,36.25,41.25,22.5,37.5,42.5,20,31.25,53.75,15,31.25,48.75,20,45,48.75,6.25,45,45,10,15,51.25,33.75,27.5,42.5,30,23.75,57.5,18.75,11.25,46.25,42.5,15,53.75,31.25,20,47.5,32.5,1
ADAM33,Q9BZ11,22.5,37.5,40,37.5,45,17.5,40,35,25,25,57.5,17.5,7.5,82.5,10,53.75,22.5,23.75,52.5,18.75,28.75,32.5,15,52.5,18.75,70,11.25,27.5,70,2.5,15,21.25,63.75,23.75,12.5,63.75,25,43.75,31.25,27.5,42.5,30,31.25,37.5,31.25,33.75,56.25,10,30,55,15,32.5,42.5,25,12.5,68.75,18.75,31.25,27.5,41.25,20,70,10,7.5,50,42.5,10,52.5,37.5,18.75,20,61.25,1
SDC3,O75056,26.25,52.5,21.25,58.75,23.75,17.5,22.5,48.75,28.75,48.75,33.75,17.5,8.75,76.25,15,53.75,26.25,20,51.25,6.25,42.5,56.25,11.25,32.5,38.75,48.75,12.5,42.5,46.25,11.25,13.75,22.5,63.75,27.5,8.75,63.75,28.75,51.25,20,30,48.75,21.25,35,48.75,16.25,35,58.75,6.25,33.75,55,11.25,36.25,47.5,16.25,13.75,53.75,32.5,36.25,32.5,31.25,18.75,80,1.25,7.5,46.25,46.25,8.75,48.75,42.5,26.25,13.75,60,1
BMP2K,Q9NSY1,18.75,56.25,25,56.25,21.25,22.5,25,53.75,21.25,52.5,25,22.5,12.5,82.5,5,61.25,18.75,20,40,21.25,38.75,50,26.25,23.75,48.75,38.75,12.5,57.5,42.5,0,16.25,18.75,65,16.25,18.75,65,21.25,65,13.75,48.75,36.25,15,17.5,66.25,16.25,20,68.75,11.25,55,38.75,6.25,57.5,32.5,10,17.5,60,22.5,55,23.75,21.25,28.75,63.75,7.5,10,57.5,32.5,12.5,56.25,31.25,15,30,55,1
MLPH,Q9BV36,48.75,23.75,27.5,27.5,43.75,28.75,28.75,18.75,52.5,23.75,47.5,28.75,21.25,60,18.75,33.75,48.75,17.5,66.25,15,18.75,35,37.5,27.5,13.75,75,11.25,35,57.5,7.5,33.75,30,36.25,40,23.75,36.25,52.5,27.5,20,42.5,35,22.5,37.5,38.75,23.75,28.75,45,26.25,43.75,51.25,5,47.5,32.5,20,27.5,42.5,30,36.25,21.25,42.5,38.75,53.75,7.5,8.75,42.5,48.75,10,43.75,46.25,32.5,36.25,31.25,1
SMARCA2,P51531,8.75,72.5,18.75,70,11.25,18.75,18.75,66.25,15,41.25,40,18.75,1.25,93.75,5,27.5,8.75,63.75,23.75,12.5,63.75,31.25,21.25,47.5,32.5,66.25,1.25,25,71.25,3.75,10,23.75,66.25,13.75,20,66.25,15,68.75,16.25,36.25,51.25,12.5,43.75,52.5,3.75,46.25,47.5,6.25,40,21.25,38.75,46.25,42.5,11.25,17.5,71.25,11.25,48.75,42.5,8.75,33.75,57.5,8.75,7.5,51.25,41.25,17.5,47.5,35,11.25,33.75,55,1
ITGA8,P53708,16.25,53.75,30,56.25,23.75,20,33.75,48.75,17.5,42.5,37.5,20,7.5,87.5,5,55,16.25,28.75,42.5,23.75,33.75,40,20,40,36.25,51.25,12.5,41.25,51.25,7.5,12.5,21.25,66.25,13.75,20,66.25,17.5,62.5,20,27.5,47.5,25,31.25,48.75,20,35,57.5,7.5,36.25,47.5,16.25,37.5,46.25,16.25,15,56.25,28.75,35,40,25,22.5,67.5,10,13.75,41.25,45,16.25,45,38.75,13.75,30,56.25,1
LRP6,O75581,26.25,35,38.75,40,38.75,21.25,41.25,31.25,27.5,36.25,42.5,21.25,10,77.5,12.5,57.5,26.25,16.25,47.5,28.75,23.75,38.75,21.25,40,26.25,57.5,16.25,36.25,55,8.75,15,26.25,58.75,25,16.25,58.75,27.5,46.25,26.25,25,47.5,27.5,30,42.5,27.5,27.5,60,12.5,32.5,62.5,5,33.75,47.5,18.75,15,52.5,32.5,28.75,31.25,40,18.75,70,11.25,12.5,47.5,40,13.75,55,31.25,23.75,26.25,50,1
CALCOCO2,Q13137,25,37.5,37.5,36.25,28.75,35,42.5,27.5,30,27.5,37.5,35,10,78.75,11.25,41.25,25,33.75,30,47.5,22.5,26.25,27.5,46.25,10,67.5,22.5,30,58.75,11.25,18.75,35,46.25,25,28.75,46.25,30,42.5,27.5,22.5,51.25,26.25,46.25,40,13.75,42.5,38.75,18.75,38.75,50,11.25,43.75,47.5,8.75,22.5,51.25,26.25,35,40,25,23.75,50,26.25,25,41.25,33.75,27.5,47.5,25,26.25,41.25,32.5,1
